Type	Journal Row	Currency	Version	Year	Month	Business Unit	Account Code	Description	Cost Centre	Funder	Project	Amount	Amount Type	Journal Description	Jnl Line Description
Q3 FC input - Core Centres	28	MMK	Q3Forecast	2020	DEC	MMA_Pro	610010	MSP/PAC	10000	NotAnalysed	NotAnalysed	-39.00	MemoAmount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	29	MMK	Q3Forecast	2020	SEP	MMA_Pro	601010	Grant Income	12000	B012	NotAnalysed	-13851789.19	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	30	MMK	Q3Forecast	2020	OCT	MMA_Pro	601010	Grant Income	12000	B012	NotAnalysed	-10325113.00	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	31	MMK	Q3Forecast	2020	NOV	MMA_Pro	601010	Grant Income	12000	B012	NotAnalysed	-8572057.02	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	32	MMK	Q3Forecast	2020	DEC	MMA_Pro	601010	Grant Income	12000	B012	NotAnalysed	-8403110.47	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	33	MMK	Q3Forecast	2020	SEP	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	Y001	NotAnalysed	-174760000.49	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	34	MMK	Q3Forecast	2020	OCT	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	Y001	NotAnalysed	-70450000.00	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	35	MMK	Q3Forecast	2020	NOV	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	Y001	NotAnalysed	-117135000.00	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	36	MMK	Q3Forecast	2020	DEC	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	Y001	NotAnalysed	-117110000.00	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	37	MMK	Q3Forecast	2020	SEP	MMA_Pro	792400	Cost Saving (Budget)	12000	B012	NotAnalysed	13851789.19	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	38	MMK	Q3Forecast	2020	OCT	MMA_Pro	792400	Cost Saving (Budget)	12000	B012	NotAnalysed	10325113.00	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	39	MMK	Q3Forecast	2020	NOV	MMA_Pro	792400	Cost Saving (Budget)	12000	B012	NotAnalysed	8572057.02	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	40	MMK	Q3Forecast	2020	DEC	MMA_Pro	792400	Cost Saving (Budget)	12000	B012	NotAnalysed	8403110.47	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	41	MMK	Q3Forecast	2020	SEP	MMA_Pro	792400	Cost Saving (Budget)	12000	Y001	NotAnalysed	123311394.14	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	42	MMK	Q3Forecast	2020	OCT	MMA_Pro	792400	Cost Saving (Budget)	12000	Y001	NotAnalysed	59643563.80	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	43	MMK	Q3Forecast	2020	NOV	MMA_Pro	792400	Cost Saving (Budget)	12000	Y001	NotAnalysed	83377268.80	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	44	MMK	Q3Forecast	2020	DEC	MMA_Pro	792400	Cost Saving (Budget)	12000	Y001	NotAnalysed	83359943.80	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	45	MMK	Q3Forecast	2020	SEP	MMA_Pro	W82300	Number of Other Personnel	12000	NotAnalysed	NotAnalysed	3.00	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	46	MMK	Q3Forecast	2020	OCT	MMA_Pro	W82300	Number of Other Personnel	12000	NotAnalysed	NotAnalysed	3.00	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	47	MMK	Q3Forecast	2020	NOV	MMA_Pro	W82300	Number of Other Personnel	12000	NotAnalysed	NotAnalysed	3.00	MemoAmount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	48	MMK	Q3Forecast	2020	DEC	MMA_Pro	W82300	Number of Other Personnel	12000	NotAnalysed	NotAnalysed	3.00	MemoAmount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	49	MMK	Q3Forecast	2020	SEP	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	NotAnalysed	NotAnalysed	-24482.00	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	50	MMK	Q3Forecast	2020	OCT	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	NotAnalysed	NotAnalysed	-9696.67	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	51	MMK	Q3Forecast	2020	NOV	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	NotAnalysed	NotAnalysed	-16373.56	MemoAmount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	52	MMK	Q3Forecast	2020	DEC	MMA_Pro	647200	Diaphragm Pieces Sales Pieces	12000	NotAnalysed	NotAnalysed	-16383.78	MemoAmount	Q3 FC	Q3 FC DEC
Q3 FC input - Social Marketing (inc TPSM)	53	MMK	Q3Forecast	2020	SEP	MMA_Pro	640600	Combi-Pack Pack Sales - Unbranded	12000	NotAnalysed	NotAnalysed	-398.95	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Social Marketing (inc TPSM)	54	MMK	Q3Forecast	2020	OCT	MMA_Pro	640600	Combi-Pack Pack Sales - Unbranded	12000	NotAnalysed	NotAnalysed	-310.53	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Social Marketing (inc TPSM)	55	MMK	Q3Forecast	2020	NOV	MMA_Pro	640600	Combi-Pack Pack Sales - Unbranded	12000	NotAnalysed	NotAnalysed	-332.63	MemoAmount	Q3 FC	Q3 FC NOV
Q3 FC input - Social Marketing (inc TPSM)	56	MMK	Q3Forecast	2020	DEC	MMA_Pro	640600	Combi-Pack Pack Sales - Unbranded	12000	NotAnalysed	NotAnalysed	-354.74	MemoAmount	Q3 FC	Q3 FC DEC
